t,t_ch,t_sim
4.482817801738225,4.482817801738074,105.32908320426941
4.518335938256305,4.518335938256265,106.24844932556152
4.552362751544414,4.552362751544416,107.20769953727722
4.585483329003802,4.585483329003755,108.20927882194519
4.618069456127943,4.618069456127823,109.045077085495
4.65061567658574,4.650615676585764,109.90226936340332
4.683257923006006,4.683257923005913,110.74405527114868
4.716314096362645,4.716314096362575,111.56205749511719
4.750357001213253,4.750357001213066,112.43103861808777
4.785982401286205,4.7859824012860965,113.25286173820496
4.823396335902911,4.823396335902666,114.03107452392578
4.862638007478018,4.8626380074776865,114.82480645179749
4.902723469975928,4.902723469975472,115.66690063476562
4.942070907518998,4.942070907518495,116.45871686935425
4.9803843773215855,4.980384377320984,117.21495151519775
5.017017069893337,5.0170170698927805,118.0551815032959
5.052387429849501,5.0523874298488005,118.87366533279419
